,,,,,,,,,cm,,Month/day/year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%,μg C/g soil,umol/g soil or nmol/g soil/hr,,ug NH4-N/g soil        ,Scale 0-14,μg C/g soil,%,,,,,,g/cc,%,,,%,ugN/g soil,,,μg N/g soil,Ratio,,ug NH4-N/g soil,,Status,Project links,Timestamp,,,,,,,,,,,,,,,,,,,,,,decimal degrees,decimal degrees
606,ORCD,Round 1,,,Own,2023-0342,2024-0253,002-0016-2019-0098,0,15,7-8-21,Oahu,,128,Cropland,2004-2024,No Change,,#N/A,1889-1949,,,,,33,,Orchard/tree crop,Weeds/Unmanaged,Bone/blood meal,,,,,,,#VALUE!,,#VALUE!,None,Other,,No,Surface Drip,"Mulch (woodchip, leaf litter, other organic material)",Lualualei,,,Does not apply,PIAL,,Andisol,,Torrox,PNCM,,6.95,317.924,75.72,27.02,179.86,5.72,,55.86,0.2732155124,0.12,0.05,0.54,0.79,1.1,52.58772982,,#N/A,0.69,#N/A,0.3502281241,,56.54,11.40,#N/A,,,Done,15.86,7/9/2024,scoring_function_noPIALv2,10/15/2024,,,,1977,,,,,423,#N/A,,619,,,,,,,,22.185676,-159.418669
1098,Department of Health,,,,Own,2023-0023,2024-0254,011-0050-2024-0398,0,5,12/11/2023,Puerto Rico,,226.23,Unmanaged forest,2000-2023,Cropland,,#N/A,1950-2014,,,,,79,,Commercial veg/fruits,Commercial veg/fruits,Mineral,,,,,,,,,,Mulboard,,Yes,No,None,Plastic Mulch,Waialua,,,Conventional cropland,PIAL,,Ultisol,Ustivitrand,Argid,HAC,,1.62,54.5928,82.73,7.74,126,,209.81,132.64,0.59,0.87,,#N/A,0.12,,,#N/A,#N/A,1.66,19.13,7.65,#N/A,66.75204884,9.25,#N/A,23.10,,,https://docs.google.com/spreadsheets/d/1mbsSvGN-fV4Rjyqmd69ggP6rynjHo791QXFY_TbftcA/edit?usp=sharing,3/9/2022,0.02,,,15,,,484,,,67,,,,,,,,,,,,20.458061,-157.160002
1255,LTAR,Tanner Kauai sample client Iwikua Orchard,,,,343,2024-0255,025-0019-2025-674-0002,0,15,7-9-21,Oahu,,9.18,Cropland,2010-present,No Change,#N/A,Unmanaged/abandoned,#N/A,,,,,17,,eucalyptus and shrubbery,No change,Synthetic blend,"1,000 lb/ac/yr - 1 ton/ac/yr",,,,,,#VALUE!,,#VALUE!,None,Yearly,No,No,None,Bare soil,Mahana,,,Conventional cropland,None,,Mollisol,,Aquept/Humolt,HAC,,6.51,72.63,9.04,9.85,,,206.22,87.98,1.18,0.26,,0.81,,0.93,56.41063682,0.00,2.00,0.4,9.84,#N/A,36.84,31.04,,#N/A,5.3,,Done,,,0.43,10/15/2024,,,,1126,,,0.78,#N/A,,,#N/A,1012,,,,,,,,21.082704,-158.827808
1198,Department of Health,,,,,2023-0219,2024-0256,011-0022-2023-0026,0,15,2025-05-16 00:00:00,Oahu,,0.49,Unmanaged/abandoned,2022-2023,,1976-2016,#N/A,,,,,,PR-BM-T2,,coffee and unmanaged,,None,,,,,,,,,,minimun tillage- two disc passes,More than twice,No,No,None,"Mulch (woodchip, leaf litter, other organic material)",Hanalei-Lolekaa,,,Conventional cropland,None,Low,Andisol,Calciargid,,HAC,,,43.50,35.29,16.83,11.45,7.95,1838.81,66.27,11.41,0.31,0.19,0.07,0.55,#N/A,14.82833084,11.76,0.00,0.15,#N/A,12.44,45.39,158.29,12.39285714,149.71,35.33,,In progress,https://docs.google.com/spreadsheets/d/1kM4T-4vxg8TwhkLu4saUhof40IarnAsI-Zo0hsNQQxQ/edit#gid=1076234646,,scoring_function_noPIALv2,,,22,,,517,,,,,11.77,,,,,,,,,,20.754062,-156.800334
,ORCD,Round 1,,,Own,2025-0099,2024-0257,011-0011-2024-0022,0,15,6/20/19,Big Island,,14,Orchard,,Cropland,1955-1980,Cropland,,,,,,47,2,Protected forest,Commercial veg/fruits,Synthetic blend,"1,000 lb/ac/yr - 1 ton/ac/yr",,,,,,,,,Disc,,No,No,None,Weeds,Daguey,,,,PIAL,,Histosol,Haplustert,Udand,PNCM,,7.1,41.6,,22.82,141.18,6.32,,97.09,26.83,0.15,0.60,0.19,0.02,#N/A,,#N/A,,0.09,#N/A,#N/A,,86,11.66037736,#N/A,8.82,,Done,https://docs.google.com/spreadsheets/d/1mbsSvGN-fV4Rjyqmd69ggP6rynjHo791QXFY_TbftcA/edit#gid=2114689344,8.1,scoring_function_noPIALv2,10/15/2024,,,,,,,,#N/A,,#N/A,,507,,,,,,,,21.884347,-160.115163
1278,CIG-2020,Baseline,,,Own,2025-0203,2024-0258,007-0022-2019-0200,0,15,5/31/2019,Oahu,,,Unmanaged forest,,Unmanaged/abandoned,,,,,,,,98,,Agroforestry,No change,Bone/blood meal,"1,000 lb/ac/yr - 1 ton/ac/yr",,,,,,,,,None,Other,No,Yes,Surface Drip,Weed Mat,Helemano,,,Mixed conventional and organic,PIAL,,Mollisol,Haplustoll,Ustoll,HAC,,5.52,275.6666478,,31.74,0,6.08,334.87,,8.707682474,0.50,0.62,0.68,0.78,,17.03,#N/A,7.00,0.19,238.22,1.19073111,#N/A,298.38,7.315789474,#N/A,-0.3,,Done,#N/A,#N/A,scoring_function_noPIALv2,10/15/2024,111,,#N/A,,,,,75,,,,,,,,,,,11_CIG_OnFarmTrials/CIG_HSH_SoilHealthDataAnalysis_NON-ANDIC_(LAC_HAC).xlsx,19.285401,-158.865903
1883,AFRI-2020,WSARE-2019,,,,2022-0196,2024-0259,011-0063-2022-0034,0,15,5/7/21,Oahu,,60,Platano,2002-2019,Unmanaged forest,not available,Unmanaged/abandoned,#N/A,,,,,Avocado,236.12,Cover crop/legumes-canavalia,,,"1,000 lb/ac/yr - 1 ton/ac/yr",,"500-1,000 lb/ac/yr",,,,,,,Disc,More than twice,No,No,Surface Drip,Plastic Mulch,Hanalei-Lolekaa,,,Conventional cropland,None,,Mollisol,Hydrudand,Humult,HAC,,9.01,88.187,65.15,21.29,157.14,8.16,726.63,124.58,1,0.30,0.18,0.75,0.60,,#N/A,#N/A,0.75,0.75,29.43,#N/A,3.95,62.3,8,#N/A,7.72,,Done,11.52,,,,107,,,,,,0.64,,,,,,#N/A,,,,,,,19.201415,-155.400111
2049,,WSARE-2019,,,,2024-0050,2024-0260,016-0051-2022-0026,0,70,2025-05-16 00:00:00,Oahu,,13,Agroforestry,2005-2021,Cropland,1950-2014,#N/A,1889-1949,,,,,,43,Nothing/bare fallow,Commercial veg/fruits,none,"1,000 lb/ac/yr - 1 ton/ac/yr",,#VALUE!,,,,#VALUE!,,,Roto,,Yes,,Surface Drip,"Mulch (woodchip, leaf litter, other organic material)",Lualualei,,,,Yes,,Ultisol,Dystrustept,,HAC,,6.63,49.368,18.69,11.41,-2.97,5.13,691.07,58.41,0.65,0.20,0.84,,,,50.43628583,16.31,0.00,0.49,33.68,21.10337678,57.27,162.77,10.40,#N/A,20.84,,Done,https://docs.google.com/spreadsheets/d/1kM4T-4vxg8TwhkLu4saUhof40IarnAsI-Zo0hsNQQxQ/edit#gid=900287837,7/9/2024,scoring_function_noPIALv2,10/15/2024,305,,,,110,,,,,6.79,,,,,,,,,,21.307248,-159.633060
112,Client Projects,,,,Own,218,2024-0261,002-0019-2019-0139,0,15,12/20/2021,Oahu,,7,Cropland,Agroforestry,Protected forest,#N/A,#N/A,not available,,,,,Hawaii Golden Buckwheat 1,,Nothing/bare fallow,Commercial veg/fruits,None,,,,,,,,,,Spader,More than twice,Yes,Yes,Surface Drip,Weeds,Lihue,,,,PIAL,,Aridisol,Endoaquept/Palehumolt,Humult,PNCM,,22.1,,76.77,16.43,75.36,7.48,849,,19.26613285,0.42,0.53,0.76,0.02,#N/A,,4.28,0.00,0.19,24.13,21.53390915,29.96,22.89703891,13.34848485,#N/A,33.12,,Done,https://docs.google.com/spreadsheets/d/1kM4T-4vxg8TwhkLu4saUhof40IarnAsI-Zo0hsNQQxQ/edit#gid=900287837,7.1,0.79,10/15/2024,,,1163,#N/A,,,#N/A,443,,,,,,,,,,,,21.506654,-160.167774
865,HICSC,Baseline,,,,2024-0407,2024-0262,016-0070-2022-0048,0,15,03/11/2023,Oahu,,32,Cropland,>30 yrs,Protected forest,,,,fallow/unmanaged,,,,F3B,.008 Acres,Nothing/bare fallow,No change,None,,,,,,,,,,None,More than twice,No,Yes,None,Weeds,Molokai,,,Pasture,None,,Vertisol,Palehumult,Ustoll,LAC,,6.75,126.187,75.57,7.78,83.74,7.66,86.62,103.25,22.47,0.19,0.13,0.12,#N/A,1.05,38.51,0.04,0.50,0.13,#N/A,,,,,8.18,1.04,,,https://docs.google.com/spreadsheets/d/1Np0Y3iAEhm6-GNKOSwj9RX2QTLV2pPRinpDexcJ18vM/edit?usp=sharing,,,10/15/2024,,,806,#N/A,,,,#N/A,,6.28,,,,,3,,,,,21.173168,-157.506671
455,,,20 ton compost,,Own,2023-0168,2024-0263,011-0281-2024-0059,0,15,11/4/2020,Oahu,,2,Protected forest,2019-curent,Pasture,#N/A,#N/A,200x-201x,,,,,13,undefined,Orchard/tree crop,Commercial veg/fruits,Manures,none,,#VALUE!,,,,,,,None,More than twice,Unkonwn,No,Surface Drip,Weeds,Fraternidad,,,Conventional cropland,,,Inceptisol,Gypitorrert,Folists,LAC,,,107.23,129.65,32.61,4.52,7.9,209.54,59.92,,0.33,0.34,0.76,,,74.38,0.83,1.00,0.1,#N/A,455.6231071,103.19,69,12.53703704,#N/A,24.81,,,29.1,7.8,scoring_function_noPIALv2,23,291,23,,643,229,213,,#N/A,3,,,,,,,,,,,20.804008,-156.827325
482,Kākoʻo ʻŌiwi,WSARE-2019,,,,2022-0208,2024-0264,022-0172-2023-0197,0,15,02/26/2024,Oahu,,23,crop land,5,Managed forest,#N/A,,#N/A,,,,,12,60,Orchard/tree crop,No change,Synthetic blend,"500-1,000 lb/ac/yr",,,,,,,,,None,More than twice,Yes,,None,"Mulch (woodchip, leaf litter, other organic material)",Wahiawa,,,Conventional cropland,,,Mollisol,Gypitorrert,Ustoll,HAC,,1.37,10.964,76.71,63.03,8.37,,1109.25,70.86,30.84,0.78,#N/A,#N/A,0.40,0.9,23.78,0.01,6.50,0.13,#N/A,#N/A,,57.21,9.65,#N/A,25.44,,Done,https://docs.google.com/spreadsheets/d/16vOfuaO-7wjY4aZkgjh6N8wdHOK1Ohe130j1QIxvXms/edit?usp=sharing,3/9/2022,,#N/A,,,,,,,,#N/A,407,,,,,,,#REF!,,,,20.297965,-156.234439
853,HICSC,,,,Own,461,2024-0265,011-0022-2021-0670,0,15,08/21/2022,Big Island,#N/A,34.964,Pasture,1996-present,Protected forest,,No Change,#N/A,,,,,Plot 16 control 3,0.044,Unmanaged forest,,Synthetic blend,"small plants-1oz/coffee tree, 2oz/platano
coffee trees ~3 years old- .5 pounds of abono for every plant 2-3x/year
citrus ~4 years old, 5 lbs per tree 2-3x/year",,,,,,,,#VALUE!,Disc,,,Yes,Sprinkle,,Pohakupu,,,Organic cropland,PIAL,,Entisol,,Ustoll,LAC,,1.54,51.188,,5.87,,7.1,681.00,60.77,3.113308084,0.22,0.13,0.02,0.50,1.57,82.28111025,1.90,#N/A,0.23,3.34,#N/A,#N/A,81.14,11.16216216,#N/A,23.55,#N/A,Done,https://docs.google.com/spreadsheets/d/1pQo3yk7sTzfCeFaGWk2K4cDxDQ7GfXOt71b2iiVU0fA/edit#gid=2114689344,10/4/2023,0.4,10/15/2024,,,2027,,,67,,,#N/A,5.07,,,,,,,,,,20.360036,-158.370589
572,CIG-2020,Round 1,,,Lease,2023-0489,2024-0266,003-0022-2019-0160,0,15,12/12/2023,Oahu,,1 ac,Orchard,2022-2023,Cropland,#N/A,,,,,,,Lot 16 control 3,10 acres,Protected forest,Orchard/tree crop,None,"500-1,000 lb/ac/yr",,,,,,,,,Mulboard,More than twice,No,,Surface Drip,"Mulch (woodchip, leaf litter, other organic material)",Pulehu,,,UPIAL,None,none,Andisol,Palehumult,Ustox,HAC,,1.87,143.046,109.66,16.26,,5.39,292,61.3,27.74,,0.98,,0.84,,43.9255,#N/A,1.00,,,0.1970451667,#N/A,27.73,9,#N/A,2.94,,,https://docs.google.com/spreadsheets/d/1oCGqbjI7hSCgkNGZzrmZXamsPtmpQf8Vs2yZ1rgnHFA/edit#gid=1076234646,7/9/2024,scoring_function_noPIALv2,10/15/2024,,77,,,,,0.73,51,262,,,,,,,,,,,18.989557,-158.420919
171,GM,,,,,2024-0166,2024-0267,023-0292-2024-0232,0,15,2025-02-10 00:00:00,Maui,,2,Agroforestry,1970-2019,Unmanaged/abandoned ag land,#N/A,,#N/A,,,,,59,Site F17,Agroforestry,Orchard/tree crop,Synthetic blend,"1,000 lb/ac/yr - 1 ton/ac/yr",,,,,,#VALUE!,,,None,,No,Yes,None,"Mulch (woodchip, leaf litter, other organic material)",La Luna,,,Conventional cropland,,,Histosol,Calciargid,Perox,PNCM,,3.31,77.711,85.39,18.58,8.75,7.01,1037,126.38,5.7187,0.92,0.23,0.61,#N/A,0.67,13.52,0.15,,0.19,#N/A,0.7732916182,0.15,38.7,15.00,10.89892127,0,,,https://docs.google.com/spreadsheets/d/1v-gX-zrJah2fKYf8qvFhXk_jvuS8YSDcctUnHklNBGU/edit#gid=364531522,3/9/2022,scoring_function_noPIALv2,,,45,4937,#N/A,369,44,,,149,,8.23,341,,,,,,,,21.091103,-155.190513
141,CIG-2020,,,,Own,2024-0473,2024-0268,022-0311-2024-0472,,15,7/1/2024,Kauai,,19,Protected forest,4,Cropland,#N/A,Cropland,1900-1995,,2014-2017,,,101,2,Agroforestry,No change,Bone/blood meal,Synthetic blend,Other organic,,,#VALUE!,,,,,None,,No,Yes,,Bare soil,Pulehu,,,Organic cropland,None,,Oxisol,,,LAC,,,22.4,117.5,42.84,85.09,6.48,194,,4.82,0.14,0.57,0.40,0.62,,24.78,1.32,0.25,0.18,#N/A,#N/A,#N/A,,11.00,,13.17,,Done,,7.7,0.05,10/15/2024,,,,,657,,,,,,,1035,,,2,,,,,21.319970,-155.608951
1154,UROP-2019,,,,Own,2023-0135,2024-0269,011-0011-2022-0124,0,15,9/12/2023,Oahu,,22,Protected forest,2010-2019,Unmanaged forest,1900-2010,#N/A,,,,,,,SITE 7 B,Commercial veg/fruits,Protected forest,None,,,,,#VALUE!,,#VALUE!,,,Roto,,No,,Surface Drip,Plastic Mulch,,,,Conventional cropland,PIAL,,Aridisol,Haplustert,Udalf/Udept,LAC,,2.72,12.111,25.39,8.43,18.9,7.44,323.33,103.4,,0.71,0.24,0.75,,0,,#N/A,#N/A,0.22,77.15,#N/A,3.92,30.39,10.22727273,10.40776464,2.03,,In progress,https://docs.google.com/spreadsheets/d/1kM4T-4vxg8TwhkLu4saUhof40IarnAsI-Zo0hsNQQxQ/edit#gid=900287837,,scoring_function_noPIALv2,10/15/2024,,136,,,,,,78,335,,,,,,,,,,,21.395525,-155.831173
703,CIG-2020,,,,Own,2025-674-0018,2024-0270,025-0019-2025-674-0056,0,15,11/19/2021,Oahu,,23,Pasture,2006-present,Unmanaged/abandoned ag land,,,,,,,,27,undefined,Orchard/tree crop,No change,None,"500-1,000 lb/ac/yr",,,,,,,,,None,,No,No,Sprinkle,"Mulch (woodchip, leaf litter, other organic material)",Honouliuli,,,Pasture,None,,Vertisol,Haplustox,Ustoll,PNCM,,,,,,57.06,7.88,301.03,159.16,2.362940041,0.35,0.92,0.35,0.55,1.14,,0.07,0.75,,38.29,26.98593906,13.22,17.04,13.75,#N/A,58.01,,Done,https://docs.google.com/spreadsheets/d/1pQo3yk7sTzfCeFaGWk2K4cDxDQ7GfXOt71b2iiVU0fA/edit#gid=2114689344,,0.21,10/15/2024,,,2413,329,,,,48,,,11.06,478,,,,,12,,,20.970492,-157.163163
1919,CIG-2020,Baseline,,,Lease,2024-0249,2024-0271,003-0022-2019-0159,0,15,11/01/2022,,,233.093,Unmanaged forest,,Cropland,,,NA,,,,,69,19.424,Orchard/tree crop,Unmanaged forest,None,0-250 lb/ac/yr,,,,,,,,#VALUE!,Roto,,No,Yes,None,,Lolekaa,,,Pasture,None,,Mollisol,,Folist,PNCM,,3.73,375.393,86.35,156.8694713,9.58,5.75,,150.68,0.41,0.93,0.55,0.82,#N/A,,,0.19,#N/A,0.44,#N/A,#N/A,#N/A,130.96,11.36,#N/A,6.99,,,30.41,7/10/2024,,10/15/2024,#N/A,,,219,477,,,78,,,,478,1.42,,,,,,,20.608479,-156.167271
628,SSH,,,,Own,531,2024-0272,025-0019-2025-674-0042,0,15,,Kauai,,,Orchard,1978-present,Pasture,#N/A,,1850-1920,,NA,,,YA compost 1,.023 acres,Forage | Unmanaged forest,No change,Synthetic blend,,,#VALUE!,,,,,,#VALUE!,None,n/a,Yes,,Sprinkle,,Hanalei-Lolekaa,,,Conventional cropland,PIAL,,Andisol,,Udand,LAC,,23.44,88.140,109.10,38.71,11.44,,1016.12,119.34,13.40769829,0.14,0.84,0.21,#N/A,0.96,61.38180037,#N/A,#N/A,0.32,#N/A,53.73,5.5,44.13,,6.179203045,,,Done,#N/A,#N/A,,#N/A,,,,,,,1.14,,,,,1191,,,,,,,,19.623976,-159.492903
2052,Kākoʻo ʻŌiwi,,,,Lease,2025-0050,2024-0273,001-0012-2018-0056,0,,9/19/2023,Oahu,,372.45,Unmanaged/abandoned ag land,2023-2024,Pasture,1950-2014,Do not know,unknown,,,,,L91M-T2,4.9,Weeds/Unmanaged,No change,None,"1,000 lb/ac/yr - 1 ton/ac/yr",Synthetic blend,10-20 tons/ac/yr,,,,,,,Roto,None,Yes,Yes,None,,Kohala,,,Pasture,PIAL ,,Andisol,,,LAC,,40.39,273.926,94.17,6.00,8.17,6.7,1128,143.98,27.32534138,,#N/A,0.97,0.52,,90.31,,#N/A,0.73,62.08,0,46.62,,,,6.79,,Done,9.71,7/10/2024,scoring_function_noPIALv2,10/15/2024,,,,,,,,,,6.08,,,#N/A,,,,,,,19.338076,-155.618557
1180,Hannah Hubanks,Baseline,,,,2023-0325,2024-0274,001-0013-2018-0059,0,15,11/07/2023,Oahu,,44.29,Unmanaged forest,2006-current,Unmanaged forest,#N/A,Unmanaged/abandoned,n/a,,,,,Avocado,,Protected forest,Forage,Synthetic blend,n/a,,,,,,,,,None,,No,Yes,,"Mulch (woodchip, leaf litter, other organic material) & weeds",Humatas,,,Orchard,None,,Andisol,Gypitorrert,,PNCM,,6.40,176.42,46.4,12.09,18.57,7.52,186.00,183.54,0.4,0.85,,0.62,0.94,0.7,,#N/A,,0.11,#N/A,,#N/A,251,14.38709677,#REF!,77.76,,Done,#N/A,3/9/2022,scoring_function_noPIALv2,10/15/2024,,,,1070,,,,,228,,,,,,,,9,,,21.398139,-159.585935
72,UROP-2019,,,,,2023-0044,2024-0275,011-0048-2022-0099,5,50,4/26/2024,Oahu,,5,Cropland,,Unmanaged/abandoned ag land,,#N/A,1889-1949,,,,,2-1,0.0099 acres,Orchard/tree crop,Commercial veg/fruits,None,0-250 lb/ac/yr,,#VALUE!,,,,,,,None,,No,,None,Weeds,,,,Organic cropland,None,,Vertisol,Haplustept,Udand,HAC,,6.99,23.12,48.15,,18.94,8,257,141.6,0.45,#N/A,0.28,,0.52,0.92,,,0.50,0.25,#N/A,,32.33,28.81,13.66071429,#N/A,14.25,,,18.93,7/9/2024,0.16,9,27,20,,,,,,,,,,,,,,,,,,20.092440,-154.765749
1003,CIG-2020,Round 3,,,,2023-0424,2024-0276,,,15,11-21-20,Oahu,,0.9,Cropland,2017-2023,Cropland,,Pineapple or sugarcane plantation,,,,,,5-3,,Commercial veg/fruits,,Gypsum,,,250-500 lb/ac/yr,,#VALUE!,,,,,None,,No,Yes,None,Bare soil,Dolekei-Fomseng,,,Mixed conventional and organic cropland,None,,Andisol,Palehumult,,LAC,,5.62,168.35,74.76145933,19.55,198.81,7.58,,83.29,12.81,0.82,,0.77,0.74,,43.59239212,,,0.17,#N/A,#N/A,73.9,43.68,9.5,10.61574489,14.70,,Done,#N/A,10/4/2023,0.35,,,,,,,50,,,,,1.88,,,,,,,,,19.213181,-159.835968
2037,SSH,Round 2,,,Lease,2024-0038,2024-0277,003-0025-2019-0175,0,15,5/6/2024,Big Island,,22,Cropland,2020- present,,,,1950-2014,,,,,,2,Cover crop/legumes- calisia repens,Weeds/Unmanaged,Synthetic blend,"500-1,000 lb/ac/yr",,,,,,,,,Disc,,Yes,Yes,Surface Drip,Plastic Mulch,Lualualei,,,,None,,Andic Inceptisol,Gypitorrert,Ustoll,HAC,,5.42,132.41,28.58,16.34,33.22,6.97,422.2,80.34,60.34,#N/A,0.18,0.10,0.30,0.65,,#N/A,#N/A,,#N/A,#N/A,,194.47,13.62,#N/A,14.22,,Done,https://docs.google.com/spreadsheets/d/1Np0Y3iAEhm6-GNKOSwj9RX2QTLV2pPRinpDexcJ18vM/edit#gid=1076234652,7.4,,10/15/2024,,8,,,,,#N/A,,,10.94,,663,,,5.3,#N/A,,,,20.512073,-155.961388
1954,C-Maiki,Baseline,,,,2024-0469,2024-0278,016-0196-2023-0295,0,15,11-04-18,Oahu,,0.49,Orchard,2021-current,Cropland,2014-2022,#N/A,,,,vanna grass,,9,,Row crop monoculture,Commercial veg/fruits,None,"500-1,000 lb/ac/yr",,,,,,#VALUE!,,,None,More than twice,Yes,No,Surface Drip,Weeds,Fraternidad,,,Protected forest,PIAL,,Andisol,Haplustox,Ustoll,LAC,,21.85,52.676,40,72.15,90.44,,519.29,94.38,4.342563291,0.52,0.69,0.83,0.51,,42.58,#N/A,14.00,0.42,#N/A,34.5625113,#N/A,44.37,12.64444444,4.291811817,21.47,,,31.05,5.9,scoring_function_noPIALv2,#N/A,,,,,,,0.61,,231,,,,,17.3,,#REF!,,,,20.961135,-154.910527
565,CIG-2020,WSARE-2019,,,,2024-0126,2024-0279,011-0001-2023-0166,0,15,2025-05-16 00:00:00,Oahu,,1 ac,Unmanaged forest,1880-present,Unmanaged/abandoned,#N/A,#N/A,1976-2016,,,,,,60,Orchard/tree crop,Protected forest,Natural farming practices,"500-1,000 lb/ac/yr",,10-20 tons/ac/yr,,,,,,,Spader,More than twice,Yes,No,drip irrigation,"Mulch (woodchip, leaf litter, other organic material)",Makiki,,,Organic cropland,PIAL,,Andisol,,Udand,LAC,,4.56,,43.69,59.86992804,34.63,6.28,,89.26,18.51,0.66,0.78,0.13,0.78,0.7,83.82,0.10,1.00,0.78,#REF!,1.433995479,0.9,,11.4,,10.78,,Done,https://docs.google.com/spreadsheets/d/1mbsSvGN-fV4Rjyqmd69ggP6rynjHo791QXFY_TbftcA/edit?usp=sharing,,scoring_function_noPIALv2,30,,,,,,,,139,92,,,449,,,,,,,,21.448597,-155.974253
759,Magoon,Baseline,,,Own,32,2024-0280,008-0023-2018-0295,0,,07/07/2022,Big Island,,0.49,Cropland,1950-2021,,,#N/A,,Cropland,,,,HD1B,undefined,Commercial veg/fruits,No change,Synthetic blend,,,,,,,,,#VALUE!,both disc and rototiller,More than twice,,Yes,Sprinkle,Weeds,Lualualei,,,Managed forest,None,,Ultisol,Palehumult,,HAC,,5.94,77.52,11.31,62.57,26.77,,1335.93,66.62,0.82,0.60,0.41,0.67,0.69,#N/A,,,0.50,0.43,#N/A,#N/A,#N/A,148,12.57777778,#N/A,5.05,,Done,,7/8/2024,scoring_function_noPIALv2,,,,,,242,60,,,,8.61,,,,,,,,,,19.519038,-155.784229
354,HICSC,,,,Lease,348,2024-0281,011-0082-2023-0281,0,15,4-25-2022,Oahu,,1,Cropland,2005-2021,Pineapple or sugarcane plantation,1980-2019,1950-1985,#N/A,,,,,105,,Orchard/tree crop,Grass/weeds/unmanaged,None,none,Lime,,,,,,,,Mulboard,,,Yes,None,,Kemole,,,Conventional cropland,,,Mollisol,Haplustand,,HAC,,9.36,62.558,190.6211346,73,8.31,6.88,571.00,55.46,1.515714798,0.77,0.71,0.08,#N/A,1.15,16.31041661,0.12,0.50,0.63,,#N/A,0.58,34.75,16.72,,,,Done,https://docs.google.com/spreadsheets/d/1Np0Y3iAEhm6-GNKOSwj9RX2QTLV2pPRinpDexcJ18vM/edit?usp=sharing,3/9/2022,scoring_function_noPIALv2,,#N/A,,,,484,,0.75,47,439,4.84,6.5,,,,,,,,,20.135122,-155.472073
517,CIG-2020,Round 1,,,,2024-0377,2024-0282,,0,15,05/18/2023,Oahu,,3,Cropland,,Unmanaged/abandoned,1994-2013,Do not know,#N/A,,,,,Lot 16 compost 5,0.25,Weeds/Unmanaged,Weeds/Unmanaged,,,,,,#VALUE!,,,,,None,,No,Yes,Sprinkle,,Lahaina,,,Managed forest,None,,Oxisol,Acrudox,Torrert,PNCM,,1.38,32.38,50.51,6.2,87.45,5.04,429,159.6,,0.57,,0.95,0.36,0.68,68.56,1.77,,0.26,,67.12,#REF!,73,,#N/A,3.47,,Done,,3/9/2022,scoring_function_noPIALv2,10/15/2024,,28,,,382,,,107,,,7.34,,,5.7,,,,,,19.771456,-159.882051
,Department of Health,,,,Lease,56,2024-0283,011-0281-2025-0187,0,15,6/20/19,Big Island,,57,Cropland,2005-2019,Pasture,,Unmanaged/abandoned,,,1850-1950,,,,0.001,"Lawn/yard/park, Other - pasture/non-native grassland",Commercial veg/fruits,Synthetic blend,250-500 lb/ac/yr,,,,,,,,,Other,,Yes,No,None,,Wahiawa,,,Protected forest,None,,Vertisol,,,LAC,,1.87,82.69,93.53,24.25,92.03,7.28,2063.60,167.62,9.527765823,0.90,0.72,0.04,0.20,1.12,,#N/A,2.00,0.21,#N/A,#N/A,#N/A,,11.43589744,20.08787202,9.41,,,,,scoring_function_noPIALv2,#N/A,,#N/A,,1330,,,,,,,,,,,,#REF!,,,,20.659768,-158.548220
611,,Round 2,,,Lease,2024-0531,2024-0284,011-0022-2021-0676,0,15,2/8/21,Oahu,,454.67,Agroforestry,N/A,Cropland,,,,,,,,Mulch 1,60,Orchard/tree crop,Commercial veg/fruits,None,1-5 tons/ac/yr,,,,,,,,,None,n/a,No,No,None,Living mulch,Kemole,,,Protected forest,PIAL,,Oxisol,Haplustand,Ustoll,LAC,,0.86,146.565,16.87584145,127.19,18.97,7.12,1356.56,88.27,,0.19,0.79,0.45,0.79,1.09,,0.30,,,#N/A,#N/A,,48.53,7.117647059,#N/A,3.68,,,https://docs.google.com/spreadsheets/d/1LZuf4Ci2LUjGz_QSnXNbifluQL_BFv2FcydQN4X-T_o/edit#gid=2114689347,,scoring_function_noPIALv2,24,#N/A,20,4443,,,346,,,193,,#N/A,,,,#N/A,,,,11_CIG_OnFarmTrials/CIG_HSH_SoilHealthDataAnalysis_ ANDIC_(PNCM_HIST).xlsx,21.973867,-159.730311
1159,Department of Health,,,,Own,2025-0189,2024-0285,022-0313-2024-0482,0,20,07/07/2022,Oahu,,27,Orchard,100+,Cropland (corn),up to 2008,,#N/A,,,,,SH3A,1,Unmanaged forest,Commercial veg/fruits,Synthetic blend,,,,,#VALUE!,,,,,None,Other,Yes,Yes,Surface Drip,Bare soil,Papai,,,Protected forest,PIAL,,Oxisol,Haplustoll,,HAC,,1.34,126.86,,93.1,,7.82,,81.1,6.82,0.69,0.84,,0.07,,79.89171253,#N/A,,0.33,#N/A,#N/A,#N/A,79.95,9.233333333,#N/A,27.30,,Done,https://docs.google.com/spreadsheets/d/1_9TNANujk3f5C5dxaj2xUoeVa_zqUSaFKvocXuerG9E/edit#gid=1076234646,3/9/2022,#N/A,10/15/2024,,,,,,,0.83,,,,25.27,,,,,,,,,20.353761,-159.799313
