,,,,,,,,,cm,,Month/day/year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%,μg C/g soil,umol/g soil or nmol/g soil/hr,,ug NH4-N/g soil        ,Scale 0-14,μg C/g soil,%,,,,,,g/cc,%,,,%,ugN/g soil,,,μg N/g soil,Ratio,,ug NH4-N/g soil,,Status,Project links,Timestamp,,
,CIG-2020,,,,Own,2023-0085,2024-0098,003-0010-2019-0151,0,15,5/3/23,Oahu,Synthetic Oahu Site 712,,120,Cropland,20+ years,Pasture,1992-2022,#N/A,#N/A,,,,,148,0.001,Commercial veg/fruits,Orchard/tree crop,Synthetic blend,0-250 lb/ac/yr,"Biochar, Compost, Synthetic blends",#VALUE!,,,,,,,None,None,Yes,Yes,Surface Drip,Living mulch,Lolekaa,21.585863,-157.740420,,,Conventional cropland,PIAL,SKIP,Andisol,,Ustox,HAC,,7.35,232.754,49.2603001,2.83,4.42,8.01,1497,73.37,3.587634508,0.35,0.71,0.55,0.70,0.79,52.2895,,0.75,0.73,#N/A,#N/A,,12.08,12.93,#N/A,12.58,,,https://docs.google.com/spreadsheets/d/1kM4T-4vxg8TwhkLu4saUhof40IarnAsI-Zo0hsNQQxQ/edit#gid=900287837,#N/A,,23
1786,AFRI-Hawaii,Round 1,,,Own,532,2024-0099,011-0049-2022-0011,0,20,11/07/2023,Big Island,Synthetic Big Island Site 978,,60,Pasture,2015-current,Cropland,#N/A,#N/A,,,,,,126,2.1,Unmanaged forest,No change,None,,,,,,,,,,Spader,Twice yearly,,Yes,None,"Mulch (woodchip, leaf litter, other organic material)",Molokai,22.054562,-157.666115,,,Unmanaged forest,PIAL,Low,Vertisol,Haplustept,,PNCM,,1.35,74.436,14.03,13.84,20.02,5.8,645.18,93.79,20.07534582,0.66,0.22,0.95,,,,#N/A,#N/A,0.11,66.54,,#N/A,30.27,8.11,18.24604472,,,Done,,7.7,0.27,10/15/2024
1736,LTAR,Round 2,,,Lease,319,2024-0100,011-0082-2024-0414,0,15,2/6/2024,Oahu,Synthetic Oahu Site 133,,10 acres,Cropland,2000-Present,,,,,,,,,94,Site F18,Orchard/tree crop,Row crop monoculture,None,250-500 lb/ac/yr,,,,#VALUE!,,,,,Disc,None,No,No,,Weeds,La Luna,21.355564,-157.791649,,,Organic cropland,PIAL,,Entisol,Haplustoll,,PNCM,,1.58,12,12.36,7.11,112.83,5.72,,171.52,68.67,0.73,0.99,0.85,,0.48,81.1254,#N/A,#N/A,0.88,34.54665889,#N/A,8.37,140.3,6.842105263,#N/A,1.75,,Done,https://docs.google.com/spreadsheets/d/1pQo3yk7sTzfCeFaGWk2K4cDxDQ7GfXOt71b2iiVU0fA/edit#gid=2114689344,10/4/2023,,23
1981,CIG-2020,,,,,229,2024-0101,022-0169-2023-0209,0,15,1/24/2022,Oahu,Synthetic Oahu Site 998,,6,Orchard,,No Change,#N/A,,,,,,,HT87 Perennial Peanut 1,,Protected forest,Commercial veg/fruits,Synthetic blend,,,,,,,,,,None,More than twice,Yes,,None,"Mulch (woodchip, leaf litter, other organic material)",Hanalei-Lolekaa,21.603818,-157.870990,,,,None,,Vertisol,Haplustert,Ustoll,LAC,,0.99,36.287,,13.54,161.37,7.8,174.54,90.29,9.0462,0.94,0.59,0.21,0.85,0.9113,,4.25,#N/A,0.49,64.21,23.36846587,17.8,,9.92,,,,Done,15.86,,0.35,10/15/2024
1779,Kākoʻo ʻŌiwi,,20 ton compost,,,2021-0663,2024-0102,011-0082-2024-0404,0,15,5/31/2019,,Synthetic Hawaii Site 663,,61,Orchard,2022-2024,,#N/A,Pineapple or sugarcane plantation,Unknown,Cropland,,,,,,Cover crop/legumes-canavalia,Row crop monoculture,,"500-1,000 lb/ac/yr",,,,,,#VALUE!,,#VALUE!,None,,Yes,No,Buried drip,Plastic Mulch,Kapaa,22.017675,-159.379764,,,Protected forest,PIAL,,Ultisol,Paleustoll,Udand,PNCM,,4.47,37.744,,26.63,4.4,7.12,240.00,76.12,2.25,0.89,0.19,0.38,,,63.85937455,#N/A,#N/A,0.18,8.15,#N/A,#N/A,60.67,7.77,,5.01,,,#N/A,#N/A,scoring_function_noPIALv2,10/15/2024
941,Department of Health,Round 3,,,Own,2025-674-0009,2024-0103,023-0278-2024-0029,0,15,7/1/2019,Oahu,Synthetic Oahu Site 930,,6,Cropland,,Pasture,,Unmanaged/abandoned,,,,,,HD3E,0.044,Nothing/bare fallow,Orchard/tree crop,Compost,,,,,,,,,#VALUE!,None,N/A,No,,None,Bare soil,Waialua,21.704257,-157.684061,,,Conventional cropland,PIAL,,Mollisol,,Udand,HAC,,1.34,84.26,34.28,13.09263414,3.88,,1408.2,,0.98,0.60,#N/A,0.50,,1.01,20.18,,,0.13,85.72,#N/A,#N/A,69.43,11.56521739,15.18,16.62,,Done,https://docs.google.com/spreadsheets/d/1Np0Y3iAEhm6-GNKOSwj9RX2QTLV2pPRinpDexcJ18vM/edit?usp=sharing,7/9/2024,#N/A,12
1683,CIG-2020,Preclearing Baseline,,,,388,2024-0104,011-0124-2024-0263,,15,04/08/2020,Oahu,Synthetic Oahu Site 553,,5,Agroforestry,,Unmanaged forest,#N/A,Cropland,1889-1949,,,,,Field G,,Row crop monoculture,Forage,None,0-250 lb/ac/yr,,,,#VALUE!,,,,#VALUE!,None,,Yes,No,None,Plastic Mulch,Lolekaa,21.260230,-158.012690,,,,None,,Andisol,Hydrudand,Ustoll,HAC,,,473.798,70.33,42.22,36.27,5.37,,,,0.79,#N/A,0.81,0.74,1.04,32.14,#N/A,#N/A,0.68,#N/A,#N/A,65.04,575.61,10.73,,5.52,,,https://docs.google.com/spreadsheets/d/1hGlEMKGPfx7rKo0q2c9sM2IpVLl6aTYW1_uPczssraQ/edit#gid=2114689344,7/9/2024,scoring_function_noPIALv2,10/15/2024
690,GM,Baseline,,,Own,2025-0095,2024-0105,011-0001-2021-0666,0,50,02/05/2024,Puerto Rico,Synthetic Puerto Rico Site 030,,,Cropland,1975-2024,Protected forest,2019-1999,Cropland,#N/A,,,,,Lot 7 S2 T2,SITE 5 A,"mixed grass/legume, guinea",Dryland root crops,Synthetic blend,"500-1,000 lb/ac/yr",,,,,,,,,Disc,More than twice,No,,None,,Ookala,21.849343,-157.638759,,,Pasture,PIAL,,Mollisol,Haplustox,,LAC,,,8.296,70.54,,176.89,6.87,783,141.2,43.99694903,0.24,#N/A,0.62,0.34,1.01,#N/A,#N/A,2.50,0.12,#N/A,#N/A,27.86,25.04,14.86666667,#N/A,4.37,,,,#N/A,0.34,34
449,CIG-2020,,,,,2022-0216,2024-0106,011-0281-2025-0215,0,15,2025-04-25 00:00:00,Kauai,Synthetic Kauai Site 520,,136,,,Cropland (corn),,,,,,,,Palani Ranch Plot 1 Sample 4,0.044,Row crop monoculture,No change,Bone/blood meal,"500-1,000 lb/ac/yr",,,,,,,,,Mulboard,More than twice,No,No,Surface Drip,Plastic Mulch,Molokai,22.054221,-159.264093,,,Conventional cropland,PIAL,,Ultisol,Gypitorrert,Ustoll,PNCM,,18.3,69.890,63.88,3.44,20.06,,1320.89,83.46,3.16,1.00,0.84,0.37,0.40,#N/A,61.51266755,0.03,1.50,,,#N/A,#N/A,36.2,12.72916667,#N/A,11.39,,In progress,https://docs.google.com/spreadsheets/d/1hHnR16Pm-SD0TlAZSCGVcxEi1iMQjoB3UhMNWIC99hI/edit?usp=sharing,7/9/2024,,10/15/2024
1095,Kākoʻo ʻŌiwi,,,,,2023-0126,2024-0107,007-0030-2019-0243,0,15,12/12/2022,Oahu,Synthetic Oahu Site 089,,23,Pasture,indigenous,No Change,#N/A,Cropland,1890-1945,,,,,,,Orchard/tree crop,No change,Bone/blood meal,,,,,,,#VALUE!,,,Roto,,Yes,Yes,None,,Waialua,21.695150,-158.043312,,,Unmanaged forest,None,,Mollisol,Haplustert,Folists,HAC,,5.56,119.168,46.46,52.1,159.13,7.59,450.00,,0.57,,0.59,0.63,0.48,0.56,30.79,0.15,#N/A,0.24,,15.46,#N/A,,15.31,#N/A,30.18,,Done,#N/A,,scoring_function_noPIALv2,10/15/2024
2036,Department of Health,Preclearing Baseline,,,,2025-674-0007,2024-0108,012-0110-2022-0221,0,15,5/16/2023,Oahu,Synthetic Oahu Site 300,,1967.7,Orchard,2018-present,,#N/A,#N/A,,,,,,,,collard,Commercial veg/fruits,Compost,"500-1,000 lb/ac/yr",,,,,,,,,None,N/A,No,,None,Weeds,Wahiawa,21.571930,-157.620707,,,Conventional cropland,PIAL,,,Haplustoll,,PNCM,,,55.387,,31.05,195.78,8.46,,105.88,,0.33,0.57,0.61,#N/A,,61.77595266,0.00,1.75,0.11,#N/A,,#N/A,63.86,,19.55387685,138.49,,Done,https://docs.google.com/spreadsheets/d/1Np0Y3iAEhm6-GNKOSwj9RX2QTLV2pPRinpDexcJ18vM/edit?usp=sharing,,scoring_function_noPIALv2,10/15/2024
501,,,Control,,Own,2024-0415,2024-0109,017-0148-2023-0144,60,15,6/20/19,Oahu,Synthetic Oahu Site 378,,60,Protected forest,Agroforestry,Cropland,,,#N/A,,2014-2017,,,98,2.1,Weeds/Unmanaged,No change,Synthetic blend,#VALUE!,Synthetic blend,,,,,,,#VALUE!,None,Other,Yes,No,Sprinkle,Weeds,,21.331992,-158.030623,,,,None,,Vertisol,Haplustoll,Ustoll,HAC,,1.67,13.267,31.63,73.23,8.85,7.65,124.28,63.81,1.15,0.02,0.17,0.02,0.19,,#N/A,#N/A,#N/A,1.38,20.6,,#N/A,,12.92156863,9.38,4.49,,,#N/A,,scoring_function_noPIALv2,10/15/2024
1936,CIG-2020,,,,,2024-0416,2024-0110,021-0095-2022-0169,0,15,6/30/21,Oahu,Synthetic Oahu Site 604,,23,Orchard,2013-current,No Change,,Pasture,#N/A,,,,,101,,Commercial veg/fruits,Commercial veg/fruits,Manures,"1,000 lb/ac/yr - 1 ton/ac/yr",,,,,,,,,None,Other,Yes,No,Sprinkle,Bare soil & grassland cover,Wahiawa,21.702491,-157.711072,,,Conventional,PIAL,,Andisol,Haplustoll,Ustert,LAC,,15.41,,29.48,99.97,,4.26,1733.32,57.2,5.33,0.11,0.26,0.52,0.43,,,,0.00,0.33,16.74,#N/A,5.1,50.41,6.678571429,#N/A,18.82,,Done,https://docs.google.com/spreadsheets/d/1mbsSvGN-fV4Rjyqmd69ggP6rynjHo791QXFY_TbftcA/edit#gid=2114689344,,0.32,14
31,CIG-2020,WSARE-2019,,,,306,2024-0111,011-0084-2024-0039,0,15,2025-02-07 00:00:00,Oahu,Synthetic Oahu Site 489,,14,Cropland,2019-2021,Cropland,1976-2016,,,,,,,HC,0.1,Weeds/Unmanaged,Commercial veg/fruits,Bone/blood meal,0-250 lb/ac/yr,,,,,,,,#VALUE!,Chisel,,Yes,No,Sprinkle,,Kemole,21.294998,-157.999208,,,Conventional cropland,None,Low,Mollisol,Gypitorrert,Udand,PNCM,,2.34,40.270,25.04024871,53.53,20.59,8.17,171,77.01,10.81,0.10,0.28,0.57,0.87,,,#N/A,1.00,0.22,17.42,3.784084355,,,13.76,2.07,35.14,,,https://docs.google.com/spreadsheets/d/1mbsSvGN-fV4Rjyqmd69ggP6rynjHo791QXFY_TbftcA/edit#gid=2114689344,7.3,#N/A,10
991,LTAR,,Agroforest,,,29,2024-0112,008-0023-2018-0287,0,15,2025-02-07 00:00:00,Oahu,Synthetic Oahu Site 298,,11,Cropland,2012 to present,Cropland,,,#N/A,,,,,Terrace 1,,Commercial veg/fruits,No change,None,"500-1,000 lb/ac/yr",,,,,,,,,None,Yearly,No,No,,,Olinda,21.539563,-157.736398,,,Organic cropland,PIAL ,,Andisol,Haplustoll,Torrert,LAC,,1.14,187.053,7.11,19.77,71.17,5.78,209,59.3,1.770543173,0.21,0.89,0.42,0.08,0.99,#N/A,#N/A,,0.29,#N/A,48.77436414,11.59,,7.810776056,#N/A,5.28,,Done,39.51,7.7,scoring_function_noPIALv2,10/15/2024
,SSH,Baseline,,,,2022-0120,2024-0113,011-0074-2025-0099,0,15,11-21-20,Maui,Synthetic Maui Site 382,,64,Orchard,,Protected forest,,Pineapple or sugarcane plantation,1889-1949,,,,,72,2,Commercial veg/fruits,Unmanaged forest,Synthetic blend,,,,,#VALUE!,,,,,Disc,More than twice,No,,None,Plastic Mulch,Fraternidad,21.004720,-156.482236,,,Agroforestry,None,,Oxisol,,Ustand,LAC,,5.32,151.26,85.43,23.32,2.49,,344,71.61,0.75,0.45,0.77,,0.10,0.70,34.26,#N/A,0.75,0.12,23.27,194.55,86.74,197.45,8.21948512,10.21592718,-0.9,,Done,https://docs.google.com/spreadsheets/d/1qDjNW0YIq46KWS11xkO2oLj7US4pomIO3bi64RSodNQ/edit#gid=2114689344,3/9/2022,0.68,5
424,Hannah Hubanks,WSARE-2019,20 ton compost,,,566,2024-0114,007-0030-2021-0547,15,5,3/30/21,Maui,Synthetic Maui Site 948,,1ac,Cropland,2019-2021,Protected forest,1994-2013,#N/A,#N/A,,,,,,,Agroforestry,Other,Synthetic blend,"1,000 lb/ac/yr - 1 ton/ac/yr",,,,,,,,,None,More than twice,Yes,No,None,Bare soil,Waialua Series,20.993259,-156.206020,,,Conventional,None,,Oxisol,Kandiudox,Ustert,HAC,,5.07,131.94,,70.72,28.79,6.11,233,154.39,1.45,0.73,0.15,0.54,0.84,,,0.02,#N/A,0.07,,18.34289359,#N/A,182.77,,3.627595168,3.53,,Done,https://docs.google.com/spreadsheets/d/1kM4T-4vxg8TwhkLu4saUhof40IarnAsI-Zo0hsNQQxQ/edit#gid=900287837,3/9/2022,scoring_function_noPIALv2,10/15/2024
277,UROP-2019,Round 1,,,,SH-NTBG-16,2024-0115,011-0022-2023-0045,0,5,7/1/21,Oahu,Synthetic Oahu Site 723,,,Cropland,2012-2022,Unmanaged/Abandoned Ag land,,#N/A,,,,,,HE-Pasture-2_Site-A,0.001,Forage | Unmanaged forest,Commercial veg/fruits,Synthetic blend,0-250 lb/ac/yr,,,,,,#VALUE!,,,None,,,No,Surface Drip,"Mulch (woodchip, leaf litter, other organic material)",Wahiawa,21.255398,-157.685617,,,,None,,Andisol,Dystrudept,Torrert,HAC,,1.12,19.740,22.44,8.741052902,73.25,5.81,163,79.1,,0.84,0.63,0.57,0.03,0.9957,,#N/A,,,#DIV/0!,52.10615716,#N/A,11.08,8.142857143,#N/A,-2.97,,Done,39.13,7/10/2024,0.27,10/15/2024
52,CIG-2020,,,,Other,2023-0029,2024-0116,001-0002-2017-0010,0,15,2/8/21,Kauai,Synthetic Kauai Site 808,,1,Protected forest,2014-2024,,1980-2019,#N/A,#N/A,,,,,Hawaii Golden Buckwheat 4,12,Forage,No change,Synthetic blend,#VALUE!,,,,,,,,,Disc,,Yes,,,Bare soil,Lolekaa,21.915238,-159.463576,,,Organic,None,,Ultisol,Haplustoll,Humult,HAC,,1.19,41.62,,48.72929926,60.26,7.87,753.4,98.22,4.937441993,0.61,#N/A,0.45,0.12,1.35,,0.09,,0.78,#N/A,#N/A,2.59,117.71,21.33333333,#N/A,5.07,,Done,,7,scoring_function_noPIALv2,
,Kākoʻo ʻŌiwi,,Row Crop,,Own,2024-0525,2024-0117,,,15,7/7/2023,Maui,Synthetic Maui Site 865,,120,Plantain,2012 to present,,,Pasture,,,,,,,2.1,Commercial veg/fruits,No change,,"1,000 lb/ac/yr - 1 ton/ac/yr",,#VALUE!,,,,,,,None,Yearly,No,No,,Bare soil,Kohala,20.766122,-156.214844,,,Conventional,PIAL,,Mollisol,Acroperox,Ustoll,PNCM,,7.18,269.896,38.19,32.61,110,8.05,3236.32,142.20,27.39,0.78,,,0.48,1.01,#N/A,#N/A,#N/A,0.61,#N/A,6.133775115,3.28,49.88,11.80,,2.42,,,https://docs.google.com/spreadsheets/d/1kM4T-4vxg8TwhkLu4saUhof40IarnAsI-Zo0hsNQQxQ/edit#gid=900287837,7.7,scoring_function_noPIALv2,22
1441,HARC,,,,,30,2024-0118,011-0074-2024-0271,0,15,2/5/2021,Oahu,Synthetic Oahu Site 498,,5,Orchard,2015- present,Pineapple or sugarcane plantation,#N/A,#N/A,,,,,,98,,"torpedo grass, halekoa, keave",,Synthetic blend,,Manures,,,,,,,,Roto,More than twice,,Yes,Sprinkle,,Fraternidad,21.608989,-157.979767,,,Conventional cropland,PIAL,,Histosol,Kandiustox,Perox,HAC,,,119.36,25.98,4.18,123.1,7.12,221.64,91.48,2.34,0.66,#N/A,0.13,0.63,,,#N/A,0.00,0.15,20.12,0.2780279831,#N/A,,10.81818182,5.127140916,1.70,,Done,32.98,7.2,#N/A,
,CIG-2020,WSARE-2019,,,,2023-0323,2024-0119,011-0050-2022-0025,0,15,4/10/2024,Oahu,Synthetic Oahu Site 605,,128,Cropland,>30 yrs,Unmanaged/abandoned,,,#N/A,,,,,10,,Agroforestry,Commercial veg/fruits,None,"500-1,000 lb/ac/yr",,,,#VALUE!,,,,#VALUE!,Disc,More than twice,No,Yes,None,,Lahaina,21.346354,-157.872437,,,Conventional cropland,None,,Andisol,Acroperox,,HAC,,0.80,247.9478492,154.55,17.13,20.67,8.19,203.2808816,136.77,30.5,0.75,0.91,0.73,0.90,0.96,28.9,,0.75,,30.38,#N/A,6.81,,14.39416058,#N/A,4.48,,Done,,3/9/2022,,10/15/2024
1359,Magoon,,,,Own,2023-0367,2024-0120,017-0043-2021-0626,0,15,03/11/2023,,Synthetic Hawaii Site 997,,55,Cropland,2017-2021,Unmanaged forest,1835-1970,,,,,,,Palani Ranch Plot 1 Sample 3,0.11 ac,Agroforestry,Commercial veg/fruits,Synthetic blend,0-250 lb/ac/yr,,,,#VALUE!,,#VALUE!,,,None,,No,Yes,None,Plastic Mulch,Lolekaa,22.025370,-157.382839,,,Conventional cropland,None,,Ultisol,Endoaquept/Palehumolt,,HIST,,6.98,43.731,39.37,12.9,398.52,,96.42,79.91,,0.56,0.41,1.00,0.01,,22.81,#N/A,,0.18,#N/A,#N/A,#N/A,74.13,9.875,84.04637151,0.65,,Done,,3/9/2022,scoring_function_noPIALv2,10/15/2024
452,CIG-2020,Round 1,,,Other,2025-674-0017,2024-0121,023-0287-2024-0164,,15,12/08/2023,Oahu,Synthetic Oahu Site 223,,10,Cropland,,Unmanaged/abandoned,#N/A,#N/A,NA,,,,,Mulch 3,,Orchard/tree crop,Commercial veg/fruits,Biochar,"1,000 lb/ac/yr - 1 ton/ac/yr",,,,,,,,,,,No,No,None,Weeds,Wahiawa,21.535517,-158.042742,,,Conventional cropland,None,,Vertisol,Gypitorrert,Humult,HAC,,1.1,132.26,132.714237,45.46,136.98,6.16,524,113.23,9.57,0.93,#N/A,#N/A,1.00,,#N/A,1.08,#N/A,0.29,#N/A,1.820598681,#N/A,62.1,13.01769912,#N/A,,,Done,,3/9/2022,scoring_function_noPIALv2,7
5,HICSC,Baseline,,,,2022-0062,2024-0122,025-0019-2025-674-0008,0,15,2019,Hawaii Island,Synthetic Hawaii Island Site 757,,,Orchard,2023-2024,,#N/A,Unmanaged/abandoned,#N/A,,,,,WG Control 4,,Agroforestry,No change,Synthetic blend,"500-1,000 lb/ac/yr",,,,,,,,,None,,Yes,Yes,,Bare soil,Lualualei,19.477293,-155.402740,,,Conventional cropland,PIAL,,Histosol,Hydrudand,Torrert,PNCM,,6.04,40.318,49.18,32.61,148.74,6.67,253.19,68.86,0.1908761214,0.68,0.35,,0.12,,15.6119036,#N/A,1.00,0.42,#N/A,28.46266678,#N/A,16.31,12.81132075,#N/A,17.39,,Done,https://docs.google.com/spreadsheets/d/1LZuf4Ci2LUjGz_QSnXNbifluQL_BFv2FcydQN4X-T_o/edit#gid=2114689344,3/9/2022,,
779,CIG-2020,,,,Other,2022-0193,2024-0123,017-0133-2023-0106,0,15,1/14/2025,Big Island,Synthetic Big Island Site 869,,10,Orchard,>30 yrs,Cropland,,#N/A,#N/A,,,,,94,,Nothing/bare fallow,Orchard/tree crop,Bone/blood meal,"1,000 lb/ac/yr - 1 ton/ac/yr",,#VALUE!,,,,,,,None,Yearly,No,No,Surface Drip,,Fraternidad,22.051186,-157.875178,,,Conventional cropland,PIAL,,Ultisol,Haplustox,Torrert,HAC,,1.89,171.31,67.52,29.4,85.18,6.94,189.7745986,77.31,1.63,0.19,#N/A,0.38,0.04,0.96,76.07,#N/A,#N/A,0.93,#N/A,#N/A,47.76,,,10.5533037,2.72,,Done,,7.8,#N/A,27
1743,CIG-2020,,,,,2024-0154,2024-0124,,0,60,2/18/2022,Oahu,Synthetic Oahu Site 944,,1ac,Protected Forest,2007-2023,Cropland,,Cropland,#N/A,,,,,Kealialalo Treatment 1,2,Nothing/bare fallow,Grass/weeds/unmanaged,,0-250 lb/ac/yr,,,,,,#VALUE!,,,None,,No,Unknown,,,La Luna,21.508852,-157.855227,,,Conventional cropland,PIAL,,Mollisol,,Ustoll,HAC,,3.68,91.545,30.86,23.81,123.04,7.5,2078,115.82,3.276329466,0.62,0.69,0.94,#N/A,,58.02845909,#N/A,0.00,0.15,23.3,#N/A,42.31,19.7,10.84210526,,25.85,,Done,https://docs.google.com/spreadsheets/d/1pQo3yk7sTzfCeFaGWk2K4cDxDQ7GfXOt71b2iiVU0fA/edit#gid=2114689344,7/9/2024,,10/15/2024
647,Client Projects,Round 1,,,Own,508,2024-0125,011-0048-2023-0263,0,15,9/23/2019,Oahu,Synthetic Oahu Site 551,,26,Orchard,2014-2024,Cropland,1900-2009,,,Pineapple or sugarcane plantation,,,,30,1,Weeds/Unmanaged,Commercial veg/fruits,Synthetic blend,,,,,#VALUE!,,,,,None,Twice yearly,Unkonwn,Yes,Surface Drip,,La Luna,21.340263,-157.772141,,,Protected forest,PIAL,,Andisol,,Humult,HAC,,18.96,74.22,107.59,29.64720862,86.11,7.7,157,102.72,0.34,0.80,0.87,#N/A,0.19,,,#N/A,#N/A,0.14,#N/A,16.84,#N/A,52.02,4.839930037,#N/A,0.55,,Done,,3/9/2022,scoring_function_noPIALv2,10/15/2024
747,Kākoʻo ʻŌiwi,Tanner Kauai sample client Iwikua Nio'o,,,,2023-0483,2024-0126,002-0019-2019-0126,0,,5/23/2024,Oahu,Synthetic Oahu Site 429,,300,Unmanaged/abandoned,2018 - present,Cropland,#N/A,Do not know,NA,,,,,141,.008 Acres,Orchard/tree crop,Commercial veg/fruits,Bone/blood meal,,,,,,,,,,None,,Yes,No,Surface Drip,Plastic Mulch,Waialua,21.358694,-157.696381,,,Pasture,PIAL,,Mollisol,,Aquept/Humolt,LAC,,1.45,59.59,46.13,41.35,5.96,6.49,217.55,60.77,15.01,0.82,0.76,0.43,#N/A,0.72,,#N/A,#N/A,0.56,,#N/A,#N/A,55.78,10.59090909,11.26,,,Done,10.02,3/9/2022,#N/A,
476,AFRI-Hawaii,,,,Lease,SH-CM-2,2024-0127,007-0022-2021-0494,0,15,11/4/2020,Big Island,Synthetic Big Island Site 159,,3800,Cropland,>30 yrs,No change,2004-2016,Pasture,#N/A,,,,,40,,Orchard/tree crop,Commercial veg/fruits,Synthetic blend,"500-1,000 lb/ac/yr",,,,,,,,,None,More than twice,Yes,,None,Weeds,,19.277805,-159.108589,,,Conventional cropland,None,SKIP,Andisol,Palehumult,Ustoll,,,9.87,63.467,165.03,14.49,127.05,6.58,198.53,145.2,5.820582992,0.32,0.82,0.56,0.33,0.74,69.79,#N/A,#N/A,0.13,#N/A,#N/A,#REF!,103.36,13.80555556,#N/A,,,,https://docs.google.com/spreadsheets/d/1kM4T-4vxg8TwhkLu4saUhof40IarnAsI-Zo0hsNQQxQ/edit#gid=900287837,7.7,scoring_function_noPIALv2,8
1429,CIG-2020,Round 2,,,,2021-0597,2024-0128,006-0027--0186,0,15,6-29-21,Big Island,Synthetic Big Island Site 081,,2.85,Cropland,Continuous,Protected forest,#N/A,Pasture,1976-2016,Cattle ranching,,,,Control,95 acres,Orchard/tree crop,Unmanaged forest,Synthetic blend,"1,000 lb/ac/yr - 1 ton/ac/yr",,,,,,,,,None,,Yes,Yes,,Mulch_(woodchip_leaf_litter_oth,Lolekaa,21.486543,-159.120008,,,Pasture,PIAL,,Ultisol,,Humult,LAC,,1.52,39.300,122.61,12.09,,5.46,248,53.24,1.780244941,0.26,#N/A,0.21,0.98,0.84,,#N/A,#N/A,0.22,#N/A,0,#N/A,43.27,11.37037037,9.58202482,0.55,,,,10/4/2023,scoring_function_noPIALv2,10/15/2024
906,C-Maiki,Baseline,Control,,Lease,2023-0388,2024-0129,007-0022-2021-0482,0,15,04/24/2023,Kauai,Synthetic Kauai Site 479,,46,Orchard,2020-2021,Unmanaged forest,,#N/A,1850-1920,,,,,P2-control,4.5,weeds,,Synthetic blend,,,,,,,#VALUE!,,,Spader,,No,Yes,Other,"Mulch (woodchip, leaf litter, other organic material) & weeds",Puna 60% and 30%Haplic Udarents,21.997361,-159.362145,,,Organic,,,Andisol,Haplustand,Ustoll,HAC,,5.47,52.466,107.75,58.85,229.28,6.55,,67.56,0.26,0.19,#N/A,0.73,0.11,1.24,,,,1.65,#N/A,61.85712117,9.14,,13.91,#N/A,0.97,,Done,https://docs.google.com/spreadsheets/d/1mbsSvGN-fV4Rjyqmd69ggP6rynjHo791QXFY_TbftcA/edit#gid=2114689344,4.8,scoring_function_noPIALv2,#N/A
512,CIG-2020,,,,,2023-0446,2024-0130,011-0085-2024-0119,0,15,12/16/2023,Oahu,Synthetic Oahu Site 546,,28,Protected forest,,,1945-1966,,NA,,,,,Lions Gate (Mai Farm) Sample 3,0.044,Mixed,Row crop monoculture,Biochar,,Lime,,,,,,,#VALUE!,None,,No,Yes,None,Bare soil,Alapai,21.380903,-158.008223,,,Pasture,None,,Andisol,Hydrudand,Ustept,LAC,,3.82,62.732,56.62,6.00,16.85,5.25,283.96,70.89,4.732590716,0.61,#N/A,0.40,,0.86,26.43,1.62,2.00,1.48,#N/A,,#N/A,112.18,12.74,8.72,,,Done,41.15,3/9/2022,0.32,10/15/2024
1174,,Baseline,,,,2025-0188,2024-0131,007-0005-2020-0448,0,15,4/7/21,Oahu,Synthetic Oahu Site 405,,9.78,Protected forest,2014-2024,Pineapple or sugarcane plantation,,#N/A,,,,,,30,2.1,Agroforestry,,Synthetic blend,,,,,#VALUE!,,,,,,,No,Yes,,,Ookala,21.276315,-157.845713,,,Conventional cropland,PIAL,50,Andisol,Haplustoll,Torrox,PNCM,,4.37,30.67,,19.7,,6.21,98.97914011,58.01,31.66,#N/A,0.23,0.51,0.02,,,#N/A,#N/A,0.33,#N/A,,34.5,,12.49,7.36,11.96,,,,7/9/2024,scoring_function_noPIALv2,
304,CIG-2020,Round 2,,,Lease,2024-0149,2024-0132,003-0026-2019-0176,0,15,07/01/2023,Ant,Synthetic Ant Site 624,,6,Pasture,1880-present,,#N/A,Unmanaged/abandoned,#N/A,,,,,,.023 acres,,Commercial veg/fruits,Mineral,n/a,,#VALUE!,,,,,,,None,,Yes,No,None,Weeds,La Luna,19.711829,-155.581279,,,UPIAL,,,Oxisol,Haplustox,Aquept/Humolt,HAC,,1.08,20.880,41.11,73.53,15.49,,,328.59,13.01177885,0.29,0.19,0.34,0.70,,43.64186311,0.25,17.00,0.71,#N/A,#N/A,27.64,78,,#N/A,27.76,,Done,,7/9/2024,scoring_function_noPIALv2,38
